status,processed_file,metric,nom,date,processed_value,extracted_value,source_report_number,source_pdf,source_post,source_raw_path,method,draft_status,blocking_reason
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Bambu,2026-05-27,2,2,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Bunia,2026-05-27,48,48,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Butembo,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Goma,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Kalunguta,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Katwa,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Kilo,2026-05-27,2,2,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Kyondo,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Miti-Murhesa,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Mongbalu,2026-05-27,88,88,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Nizi,2026-05-27,2,2,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Nyakunde,2026-05-27,11,11,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Oicha,2026-05-27,0,0,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
match,insp_sitrep__cumulative_suspected_deaths__daily.csv,cumulative_suspected_deaths,Rwampara,2026-05-27,69,69,013,https://insp.cd/wp-content/uploads/2026/05/SitRep_MVE_RDC_NA°013_27_05_2026_ES-IM4.pdf,https://insp.cd/sitrep-mve-n-013-2026/,data/insp_sitrep/raw/SitRep_MVE_013-2026.pdf,pdftotext_layout_table_ii,,
manual_review_required,,,,2026-05-28,,,014,https://insp.cd/wp-content/uploads/2026/05/Draft_SitRep_MVE_RDC_NA°014_28_05_2026_VF-1.pdf,https://insp.cd/sitrep-mve-n-014-2026/,data/insp_sitrep/raw/SitRep_MVE_014-2026.pdf,manual_review_required,ready_for_review,table_ii_missing
